Categoría,Nivel,Español (Latino),Inglés
Animales,Baja,Gaviota,Seagull
Animales,Baja,Cuervo,Crow
Animales,Baja,Urraca,Magpie
Animales,Baja,Avestruz,Ostrich
Animales,Baja,Ñandú,Rhea
Animales,Baja,Armadillo,Armadillo
Animales,Baja,Oso Hormiguero,Anteater
Animales,Baja,Lemur,Lemur
Animales,Baja,Mandril,Mandrill
Animales,Baja,Babuino,Baboon
Animales,Baja,Chimpancé,Chimpanzee
Animales,Media,Ordeñar vaca,Milking cow
Animales,Media,Montar caballo,Riding horse
Animales,Media,Pasear perro,Walking dog
Animales,Media,Nadar con delfines,Swimming dolphins
Animales,Media,Cazar mariposas,Catching butterflies
Animales,Media,Alimentar cerdos,Feeding pigs
Animales,Media,Huir de león,Fleeing lion
Animales,Media,Bañar gato,Bathing cat
Animales,Media,Esquilar oveja,Shearing sheep
Animales,Media,Ver aves,Birdwatching
Animales,Media,Limpiar pecera,Cleaning tank
Animales,Media,Recoger huevos,Collecting eggs
Animales,Media,Domar león,Taming lion
Animales,Media,Escuchar grillo,Listening cricket
Animales,Media,Espantar mosca,Shooing fly
Animales,Media,Sacar garrapata,Removing tick
Animales,Media,Cepillar caballo,Brushing horse
Animales,Media,Acariciar conejo,Petting rabbit
Animales,Media,Buscar huellas,Tracking tracks
Animales,Media,Imitar mono,Aping monkey
Animales,Media,Correr como avestruz,Running ostrich
Animales,Media,Dormir como murciélago,Sleeping bat
Animales,Media,Trepar ardilla,Climbing squirrel
Animales,Media,Cazar como zorro,Hunting fox
Animales,Media,Aullar lobo,Howling wolf
Animales,Media,Pescar oso,Fishing bear
Animales,Media,Saltar rana,Jumping frog
Animales,Media,Arrastrarse serpiente,Crawling snake
Animales,Media,Picar abeja,Stinging bee
Animales,Media,Tejer telaraña,Spinning web
Animales,Media,Caminar pingüino,Walking penguin
Animales,Media,Rugir tigre,Roaring tiger
Animales,Media,Comer banana,Eating banana
Animales,Media,Galopar libre,Galloping free
Animales,Media,Incubar huevo,Incubating egg
Animales,Media,Perseguir cola,Chasing tail
Animales,Media,Enterrar hueso,Burying bone
Animales,Media,Rascarse pulga,Scratching flea
Animales,Media,Hacerse muerto,Playing dead
Animales,Media,Dar patita,Giving paw
Animales,Media,Atrapar disco,Catching frisbee
Animales,Media,Beber del río,Drinking river
Animales,Media,Pastar campo,Grazing field
Animales,Media,Tragar pez,Swallowing fish
Animales,Media,Volar círculo,Flying circles
Animales,Media,Hacer nido,Building nest
Animales,Media,Romper cascarón,Hatching egg
Animales,Media,Cambiar color,Changing color
Animales,Media,Hibernar cueva,Hibernating cave
Animales,Media,Escupir llama,Spitting llama
Animales,Media,Cargar leña,Carrying wood
Animales,Media,Arar tierra,Plowing field
Animales,Media,Pelear cuernos,Fighting horns
Animales,Media,Llevar bebé,Carrying baby
Animales,Media,Colgarse cola,Hanging tail
Animales,Media,Abrir almeja,Opening clam
Animales,Media,Caminar de lado,Walking sideways
Animales,Media,Inflar cuello,Puffing neck
Animales,Media,Erizar púas,Bristling quills
Animales,Media,Lanzar tinta,Shooting ink
Animales,Media,Soportar frío,Enduring cold
Animales,Media,Buscar miel,Seeking honey
Animales,Media,Polinizar flor,Pollinating flower
Animales,Media,Cargar hojas,Carrying leaves
Animales,Media,Vivir colmena,Living hive
Animales,Media,Picar madera,Pecking wood
Animales,Media,Hacer represa,Building dam
Animales,Media,Lavar comida,Washing food
Animales,Media,Abrazar árbol,Hugging tree
Animales,Media,Comer bambú,Eating bamboo
Animales,Media,Golpear pecho,Beating chest
Animales,Media,Cargar cuerno,Charging horn
Animales,Media,Abrir boca,Opening mouth
Animales,Media,Vigilar de pie,Standing guard
Animales,Media,Escalar montaña,Climbing mountain
Animales,Media,Escupir veneno,Spitting poison
Animales,Media,Nadar corriente,Swimming upstream
Animales,Media,Saltar agua,Jumping water
Animales,Media,Romper hielo,Breaking ice
Animales,Media,Aplaudir aletas,Clapping fins
Animales,Media,Balancear rama,Swinging branch
Animales,Media,Mostrar plumas,Showing feathers
Animales,Media,Pararse un pie,Standing one leg
Animales,Media,Esconder cabeza,Hiding head
Animales,Media,Rodar bola,Rolling ball
Animales,Media,Comer hormigas,Eating ants
Animales,Media,Saltar árboles,Jumping trees
Animales,Media,Mostrar trasero,Showing butt
Animales,Media,Gritar fuerte,Screaming loud
Animales,Media,Usar herramientas,Using tools
Animales,Media,Cavar túnel,Digging tunnel
Animales,Media,Morder madera,Gnawing wood
Animales,Media,Construir dique,Building dam
Animales,Media,Nadar de espalda,Backstroke swim
Animales,Media,Hacer malabares,Juggling
Animales,Media,Equilibrar pelota,Balancing ball
Animales,Media,Robar comida,Stealing food
Animales,Media,Volar en V,Flying in V
Animales,Media,Grasnar fuerte,Quacking loud
Animales,Media,Hacer agujero,Making hole
Animales,Alta,Un elefante bailando ballet,Elephant dancing ballet
Animales,Alta,Un pingüino resbalando hielo,Penguin slipping ice
Animales,Alta,Gato asustado por pepino,Cat scared by cucumber
Animales,Alta,Perro persiguiendo cola,Dog chasing tail
Animales,Alta,Mono robando cámara,Monkey stealing camera
Animales,Alta,Canguro boxeando,Kangaroo boxing
Animales,Alta,Jirafa bebiendo agua,Giraffe drinking water
Animales,Alta,Oso rascándose espalda,Bear scratching back
Animales,Alta,Flamenco perdiendo equilibrio,Flamingo losing balance
Animales,Alta,Hámster corriendo rápido,Hamster running fast
Animales,Alta,Tortuga dada vuelta,Turtle flipped over
Animales,Alta,Perezoso cruzando calle,Sloth crossing street
Animales,Alta,Pulpo abriendo frasco,Octopus opening jar
Animales,Alta,Avestruz escondiendo cabeza,Ostrich hiding head
Animales,Alta,Camello escupiendo turista,Camel spitting tourist
Animales,Alta,Gato amasando pan,Cat kneading bread
Animales,Alta,Perro con cono,Dog with cone
Animales,Alta,Loro imitando alarma,Parrot mimic alarm
Animales,Alta,Gallina cruzando calle,Chicken crossing road
Animales,Alta,Vaca masticando chicle,Cow chewing gum
Animales,Alta,Cerdo revolcándose feliz,Pig rolling happy
Animales,Alta,Caballo riéndose fuerte,Horse laughing loud
Animales,Alta,Pato con botas,Duck wearing boots
Animales,Alta,Águila con lentes,Eagle with glasses
Animales,Alta,Serpiente anudada,Snake knotted
Animales,Alta,Tiburón sin dientes,Shark toothless
Animales,Alta,Ballena con hipo,Whale hiccups
Animales,Alta,Delfín jugando pelota,Dolphin playing ball
Animales,Alta,Sapo príncipe azul,Toad prince charming
Animales,Alta,Araña tejiendo bufanda,Spider knitting scarf
Animales,Alta,Mariposa en la nariz,Butterfly on nose
Animales,Alta,Abeja alérgica polen,Bee allergic pollen
Animales,Alta,Hormiga cargando sandía,Ant carrying watermelon
Animales,Alta,Mosquito molesto oído,Mosquito in ear
Animales,Alta,Cangrejo bailando salsa,Crab dancing salsa
Animales,Alta,Lobo aullando desafinado,Wolf howling bad
Animales,Alta,Zorro robando gallina,Fox stealing hen
Animales,Alta,Búho con insomnio,Owl insomnia
Animales,Alta,Cisne feo llorando,Ugly swan crying
Animales,Alta,Ardilla perdiendo nuez,Squirrel losing nut
Animales,Alta,Castor construyendo mansión,Beaver building mansion
Animales,Alta,Koala durmiendo cae,Koala sleeping falling
Animales,Alta,Panda estornudando fuerte,Panda sneezing loud
Animales,Alta,Gorila tocando batería,Gorilla playing drums
Animales,Alta,Rinoceronte apagando fuego,Rhino putting fix
Animales,Alta,Hipopótamo haciendo yoga,Hippo doing yoga
Animales,Alta,Suricato vigilando nada,Meerkat watching nothing
Animales,Alta,Alpaca peinado raro,Alpaca weird hair
Animales,Alta,Llama escupiendo fuego,Llama spitting fire
Animales,Alta,Puercoespín abrazando globo,Porcupine hugging balloon
Animales,Alta,Hiena riéndose chiste,Hyena laughing joke
Animales,Alta,Buitre esperando comida,Vulture waiting food
Animales,Alta,Tucán perdiendo equilibrio,Toucan losing balance
Animales,Alta,Camaleón confundido color,Chameleon confused color
Animales,Alta,Iguana tomando sol,Iguana sunbathing
Animales,Alta,Guepardo perdiendo carrera,Cheetah losing race
Animales,Alta,Jaguar manchado pintura,Jaguar paint spots
Animales,Alta,Pantera rosa caminando,Pink panther walking
Animales,Alta,Puma asustado gato,Cougar scared by cat
Animales,Alta,Jabalí corriendo lodo,Boar running mud
Animales,Alta,Alce cuernos enredados,Moose antlers tangled
Animales,Alta,Reno nariz roja,Reindeer red nose
Animales,Alta,Búfalo chocando árbol,Buffalo hitting tree
Animales,Alta,Cabra masticando ropa,Goat eating clothes
Animales,Alta,Burro terco quieto,Stubborn donkey
Animales,Alta,Erizo pinchando globo,Hedgehog popping balloon
Animales,Alta,Topo perdido túnel,Mole lost tunnel
Animales,Alta,Tejón peleando cobra,Badger fighting cobra
Animales,Alta,Nutria dándose mano,Otter holding hands
Animales,Alta,Foca aplaudiendo show,Seal clapping show
Animales,Alta,Manatí chocando vidrio,Manatee hitting glass
Animales,Alta,Pelícano pez grande,Pelican big fish
Animales,Alta,Gaviota robando papas,Seagull stealing chips
Animales,Alta,Cuervo robando joya,Crow stealing jewel
Animales,Alta,Avestruz maratón,Ostrich marathon
Animales,Alta,Armadillo hecho pelota,Armadillo ball
Animales,Alta,Oso hormiguero pajita,Anteater with straw
Animales,Alta,Lemur ojos saltones,Lemur buggy eyes
Animales,Alta,Mandril mostrando dientes,Mandrill showing teeth
Animales,Alta,Chimpancé usando celular,Chimp using phone
Animales,Alta,Dinosaurio intentando aplaudir,Dino trying clap
Animales,Alta,Mosca frotando manos,Fly rubbing hands
Animales,Alta,Pez olvidando todo,Fish forgetting everything
Animales,Alta,Gusano tejiendo suéter,Worm knitting sweater
Animales,Alta,Luciérnaga sin pilas,Firefly no batteries
Animales,Alta,Calamar firmando autógrafos,Squid signing autographs
Animales,Alta,Caballito mar galopando,Seahorse galloping
Animales,Alta,Estrella mar posando,Starfish posing
Animales,Alta,Caracol llegando tarde,Snail arriving late
Animales,Alta,Ostra perdiendo perla,Oyster losing pearl
Animales,Alta,Tiburón vegetariano,Vegetarian shark
Animales,Alta,Dragón dolor garganta,Dragon sore throat
Animales,Alta,Unicornio perdiendo cuerno,Unicorn losing horn
Animales,Alta,Grifo volando torpe,Griffin flying clumsy
Animales,Alta,Fénix estornudando,Phoenix sneezing
Animales,Alta,Yeti con frío,Yeti cold
Animales,Alta,Monstruo lago tímido,Shy lake monster
Animales,Alta,Kraken jugando barquitos,Kraken playing boats
Animales,Alta,Centauro tropezando,Centaur tripping
Animales,Alta,Sirena desafinada,Mermaid off-key
